message_id,logid,symbol,meaning,type,category,severity,wazuh_rule_id,source_url
2,0000000002,LOG_ID_TRAFFIC_ALLOW,Allowed traffic,Traffic,forward,Notice,118109,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/2/2-log-id-traffic-allow
3,0000000003,LOG_ID_TRAFFIC_DENY,Traffic violation,Traffic,forward,Warning,118110,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/3/3-log-id-traffic-deny
4,0000000004,LOG_ID_TRAFFIC_OTHER_START,Traffic other session start,Traffic,forward,Notice,118111,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/4/4-log-id-traffic-other-start
5,0000000005,LOG_ID_TRAFFIC_OTHER_ICMP_ALLOW,Traffic allowed ICMP,Traffic,forward,Notice,118112,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/5/5-log-id-traffic-other-icmp-allow
6,0000000006,LOG_ID_TRAFFIC_OTHER_ICMP_DENY,Traffic denied ICMP,Traffic,forward,Warning,118113,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/6/6-log-id-traffic-other-icmp-deny
7,0000000007,LOG_ID_TRAFFIC_OTHER_INVALID,Traffic other invalid,Traffic,forward,Warning,118114,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/7/7-log-id-traffic-other-invalid
8,0000000008,LOG_ID_TRAFFIC_WANOPT,WAN optimization traffic,Traffic,forward,Notice,118115,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/8/8-log-id-traffic-wanopt
9,0000000009,LOG_ID_TRAFFIC_WEBCACHE,Web cache traffic,Traffic,forward,Notice,118116,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/9/9-log-id-traffic-webcache
10,0000000010,LOG_ID_TRAFFIC_EXPLICIT_PROXY,Explicit proxy traffic,Traffic,forward,Notice,118117,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/10/10-log-id-traffic-explicit-proxy
11,0000000011,LOG_ID_TRAFFIC_FAIL_CONN,Failed connection attempts,Traffic,forward,Warning,118118,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/11/11-log-id-traffic-fail-conn
